#CBMC 	 %Acceptance_AVG 	 %Acceptance_insert 	 %Acceptance_delete
cbmc-001-001 	 .00994 	 0.00000 	 0.01988
cbmc-005-005 	 .07002 	 0.05988 	 0.08016
cbmc-010-010 	 .15994 	 0.21978 	 0.10010
cbmc-020-010 	 .30872 	 0.37255 	 0.24490
cbmc-020-020 	 .25103 	 0.38299 	 0.11907
cbmc-050-010 	 .31161 	 0.52398 	 0.09925
cbmc-050-020 	 .45082 	 0.60326 	 0.29839
cbmc-050-030 	 .53490 	 0.83367 	 0.23613
cbmc-100-010 	 .44800 	 0.54913 	 0.34687
cbmc-100-020 	 .58772 	 0.79114 	 0.38430
cbmc-100-030 	 .56179 	 0.82561 	 0.29797
