#CBMC 	 %Average-CPU (nano sec) 	 Average-GPU (nano sec)
#CBMC 	 %Short-Range 	 Long-range
cbmc-001-001 	 403037.4 	 1837711.0
cbmc-005-005 	 1858260.8 	 1839682.4
cbmc-010-010 	 3764813.6 	 1976997.9
cbmc-020-010 	 5028570.4 	 1860112.4
cbmc-020-020 	 7558492.0 	 1815779.4
cbmc-050-010 	 9031580.6 	 1842605.7
cbmc-050-020 	 11389807.9 	 1877839.3
cbmc-050-030 	 13634979.9 	 1816916.6
cbmc-100-010 	 15251609.2 	 1928103.5
cbmc-100-020 	 17652136.8 	 1833016.2
cbmc-100-030 	 20079085.1 	 1861609.7
