#CBMC 	 %Acceptance_AVG 	 %Acceptance_insert 	 %Acceptance_delete
cbmc-001-001 	 0 	 0.00000 	 0.00000
cbmc-005-005 	 .08001 	 0.08076 	 0.07926
cbmc-010-010 	 .16014 	 0.22053 	 0.09976
cbmc-020-010 	 .17990 	 0.19893 	 0.16087
cbmc-020-020 	 .24057 	 0.32226 	 0.15889
cbmc-050-010 	 .21003 	 0.24029 	 0.17978
cbmc-050-020 	 .39981 	 0.55933 	 0.24029
cbmc-050-030 	 .41981 	 0.49880 	 0.34082
cbmc-100-010 	 .28873 	 0.37446 	 0.20300
cbmc-100-020 	 .38949 	 0.47723 	 0.30175
cbmc-100-030 	 .39027 	 0.44230 	 0.33824
