#CBMC 	 %Average-CPU (nano sec) 	 Average-GPU (nano sec)
#CBMC 	 %Short-Range 	 Long-range
cbmc-001-001 	 422126.6 	 2008657.4
cbmc-005-005 	 1879829.5 	 2233750.4
cbmc-010-010 	 3684158.7 	 2002904.0
cbmc-020-010 	 5019109.3 	 1858349.7
cbmc-020-020 	 7407893.4 	 1537492.3
cbmc-050-010 	 8860402.5 	 2115292.6
cbmc-050-020 	 10856459.2 	 1646783.9
cbmc-050-030 	 13478151.9 	 2065335.0
cbmc-100-010 	 15112895.1 	 2000219.3
cbmc-100-020 	 17512207.4 	 2148736.7
cbmc-100-030 	 19891382.7 	 2099347.0
