#CBMC 	 %Average-CPU (nano sec) 	 Average-GPU (nano sec)
#CBMC 	 %Short-Range 	 Long-range
cbmc-001-001 	 429545.4 	 1228023.5
cbmc-005-005 	 2059084.0 	 1208639.8
cbmc-010-010 	 4028809.5 	 1018473.8
cbmc-020-010 	 5320752.5 	 1085480.1
cbmc-020-020 	 7908191.0 	 1030660.7
cbmc-050-010 	 9477630.0 	 1034346.5
cbmc-050-020 	 12031761.9 	 1011974.5
cbmc-050-030 	 14636762.0 	 1209649.1
cbmc-100-010 	 16345728.8 	 1011602.7
cbmc-100-020 	 18435342.0 	 1207085.6
cbmc-100-030 	 21448244.2 	 1011843.3
