#CBMC 	 %Average-CPU (nano sec) 	 Average-GPU (nano sec)
#CBMC 	 %Short-Range 	 Long-range
cbmc-001-001 	 492531.7 	 1213693.3
cbmc-005-005 	 2408859.5 	 1274022.9
cbmc-010-010 	 4737862.8 	 1242065.4
cbmc-020-010 	 6277864.8 	 1251109.4
cbmc-020-020 	 9308189.2 	 1265671.5
cbmc-050-010 	 10998274.5 	 1262884.3
cbmc-050-020 	 14111149.3 	 1247183.3
cbmc-050-030 	 16943134.0 	 1253337.2
cbmc-100-010 	 18907130.4 	 1068626.0
cbmc-100-020 	 21377399.7 	 1063098.6
cbmc-100-030 	 25739145.2 	 1268590.9
